County Black% Poverty% CrimeRate
Albany .12 .128 0.003573269866
Allegany .01 .166 0.001707285842
Bronx .301 .285 0.00947502323
Broome .044 .162 0.003285043029
Cattaraugus .012 .167 0.001836913985
Cayuga .038 .124  0.00237535824
Chautauqua .02 .177 0.002756719504
Chemung .062 .165 0.001997120431
Chenango .006 .139 0.002052706878
Clinton .036 .138 0.001663501049
Columbia .043 .093 0.001595237312
Cortland .014 .150 0.0008954229312
Delaware .014 .141 0.002197260151
Dutchess .092 .092 0.001925672452
Erie .13 .142 0.004134448064
Essex .025 .122 0.001556739041
Franklin .055  .169 0.002154183704
Fulton .018 .165 0.002799646756
Genesee .025 .125 0.00216461372
Greene .053 .144 0.002190603798
Herkimer .01 .146 0.001938512312
Jefferson .047 .151 0.002400068329
Kings .319 .221 0.005875857882
Lewis .006 .136 0.001121160027
Livingston .023 .117 0.001417754651
Madison .017 .101 0.001716762355
Monroe .144 .144 0.003323564718
Montgomery .014 .163 0.001687437738
Nassau .105 .052 0.001346363418
NewYork .129 .176 0.005364466946
Niagara .067 .128 0.004023925013
Oneida .058 .151 0.002859002169
Onondaga .104 .138 0.003039324346
Ontario .021 .097 0.001503139178
Orange .091 .114 0.002462811808
Orleans .055 .121 0.001899612771
Oswego .007 .157 0.002227620817
Otsego .015 .164 0.001501777103
Putnam .021 .054 0.0003766363322
Queens .177 .137 0.003992034705
Rensselaer .06 .121 0.00295512724
Richmond .095 .11 0.003341928265
Rockland .111 .116 0.001175595375
St.Lawrence .02 .176 0.001571113311
Saratoga .014 .065 0.001115059049
Schenectady .087 .12 0.004520465856
Schoharie .012 .107 0.001166558652
Schuyler .008 .09 0.00072054096
Seneca .043 .117 0.001940791379
Steuben .015 .15 0.001933456027
Suffolk .068 .057 0.001221038841
Sullivan .082 .167 0.002679840292
Tioga .007 .095 0.001290719115
Tompkins .037 .204 0.001392186591
Ulster .055 .121 0.001641438191
Warren .008 .107 0.001732642358
Washington .027 .119 0.001541957474
Wayne .029 .111 0.001736937017
Westchester .133 .089 0.002163796304
Wyoming .053 .101 0.0011842787
Yates .008 .154 0.000684848729
